code,name,weight,shares
2330,台積電,9.93,3112000
6669,緯穎,6.32,710000
2345,智邦,5.73,2496000
3017,奇鋐,5.67,2166000
2308,台達電,5.21,2656000
2368,金像電,4.76,3885000
2383,台光電,4.75,1578000
6223,旺矽,4.39,1069000
8299,群聯,4.33,1358000
6274,台燿,4.32,4877000
3665,貿聯-KY,4.04,1483848
2454,聯發科,3.92,1383000
2317,鴻海,3.85,8470000
3653,健策,3.59,758000
3661,世芯-KY,3.21,458000
8210,勤誠,2.78,1498000
6805,富世達,2.72,1016000
5274,信驊,2.0,142000
2404,漢唐,1.54,806000
0050,元大台灣50,1.45,10871000
2059,川湖,1.44,232000
2327,國巨*,1.12,2321000
2449,京元電子,1.08,2133000
1303,南亞,0.88,7149000
8358,金居,0.85,1668000
5536,聖暉*,0.78,513000
0052,富邦科技,0.72,9274000
6139,亞翔,0.71,627000
2337,旺宏,0.66,6038000
6191,精成科,0.66,3138000
3533,嘉澤,0.65,253000
2313,華通,0.56,2651000
6515,穎崴,0.47,74000
3715,定穎投控,0.45,2002960
3211,順達,0.34,570000
1319,東陽,0.28,1575000
3515,華擎,0.2,423000
3217,優群,0.1,326000
8996,高力,0.06,51000
3008,大立光,0.01,3000
6510,精測,0.01,2000
3044,健鼎,0.0,1000
2357,華碩,0.0,2000
2439,美律,0.0,2000
4958,臻鼎-KY,0.0,1000
3045,台灣大,0.0,2000
2354,鴻準,0.0,1000
3081,聯亞,0.0,1000
3231,緯創,0.0,1000
2884,玉山金,0.0,2010
3583,辛耘,0.0,2000
3711,日月光投控,0.0,2000
